DATE, MKTGDPCNA646NWDB ,country
25569," 92,602,973,434.07 ",cn
25934," 99,800,958,648.14 ",cn
26299," 113,687,586,299.05 ",cn
26665," 138,544,284,708.96 ",cn
27030," 144,182,133,387.72 ",cn
27395," 163,431,551,779.76 ",cn
27760," 153,940,455,341.51 ",cn
28126," 174,938,098,826.57 ",cn
28491," 149,540,752,829.27 ",cn
28856," 178,280,594,413.04 ",cn
29221," 191,149,211,575.00 ",cn
29587," 195,866,382,432.54 ",cn
29952," 205,089,699,858.78 ",cn
30317," 230,686,747,153.26 ",cn
30682," 259,946,510,957.14 ",cn
31048," 309,488,028,132.65 ",cn
31413," 300,758,100,107.25 ",cn
31778," 272,972,974,764.57 ",cn
32143," 312,353,631,207.82 ",cn
32509," 347,768,051,311.74 ",cn
32874," 360,857,912,565.97 ",cn
33239," 383,373,318,083.62 ",cn
33604," 426,915,712,711.15 ",cn
33970," 444,731,282,436.76 ",cn
34335," 564,324,670,005.92 ",cn
34700," 734,547,898,220.51 ",cn
35065," 863,746,717,503.79 ",cn
35431," 961,603,952,951.82 ",cn
35796," 1,029,043,097,554.08 ",cn
36161," 1,093,997,267,271.06 ",cn
36526," 1,211,346,869,605.24 ",cn
36892," 1,339,395,718,865.30 ",cn
37257," 1,470,550,015,081.55 ",cn
37622," 1,660,287,965,662.68 ",cn
37987," 1,955,347,004,963.27 ",cn
38353," 2,285,965,892,360.54 ",cn
38718," 2,752,131,773,355.16 ",cn
39083," 3,550,342,425,238.25 ",cn
39448," 4,594,306,848,763.08 ",cn
39814," 5,101,702,432,883.45 ",cn
40179," 6,087,164,527,421.24 ",cn
40544," 7,551,500,425,597.77 ",cn
40909," 8,532,230,724,141.76 ",cn
41275," 9,570,405,758,739.79 ",cn
41640," 10,438,529,153,237.60 ",cn
42005," 11,015,542,352,468.90 ",cn
42370," 11,137,945,669,350.60 ",cn
42736," 12,143,491,448,186.10 ",cn
43101," 13,608,151,864,637.90 ",cn