DATE,JPNNGDP,country
34335,500260.3,JP
34425,499913.2,JP
34516,503659,JP
34608,502390.2,JP
34700,505711.6,JP
34790,510041.7,JP
34881,516281.9,JP
34973,517849.8,JP
35065,519603.9,JP
35156,526511.9,JP
35247,526019,JP
35339,531207.6,JP
35431,532466.7,JP
35521,534678,JP
35612,534888.4,JP
35704,535654.1,JP
35796,529382.5,JP
35886,526314,JP
35977,525329.6,JP
36069,530459.6,JP
36161,520704.8,JP
36251,520533.9,JP
36342,520178.7,JP
36434,519435.3,JP
36526,526933.4,JP
36617,526421.3,JP
36708,525564.4,JP
36800,528980.5,JP
36892,532597.6,JP
36982,525904.5,JP
37073,518765.2,JP
37165,515849,JP
37257,517285.4,JP
37347,515923.8,JP
37438,515474.6,JP
37530,515671.9,JP
37622,512715,JP
37712,515920.9,JP
37803,515907,JP
37895,517946.4,JP
37987,520796,JP
38078,519365.4,JP
38169,521969.5,JP
38261,521605,JP
38353,521814.8,JP
38443,523140.8,JP
38534,526034.1,JP
38626,526113.8,JP
38718,526067.5,JP
38808,525985,JP
38899,524129.9,JP
38991,531341.8,JP
39083,533772.1,JP
39173,534406.7,JP
39264,529163,JP
39356,529443.1,JP
39448,529659.6,JP
39539,526665.4,JP
39630,516359.7,JP
39722,510068.1,JP
39814,486287.8,JP
39904,492020,JP
39995,488226.9,JP
40087,491702.3,JP
40179,495898.8,JP
40269,500130.7,JP
40360,505837.3,JP
40452,500114.6,JP
40544,492208.6,JP
40634,484750.2,JP
40725,495221.1,JP
40817,494414.3,JP
40909,501102,JP
41000,494408.7,JP
41091,491821.6,JP
41183,492993.1,JP
41275,498429.4,JP
41365,501823.3,JP
41456,506781,JP
41548,506828.1,JP
41640,512320.6,JP
41730,512496.6,JP
41821,513129.3,JP
41913,517295.5,JP
42005,529281.2,JP
42095,531684.9,JP
42186,532921.1,JP
42278,531545.7,JP
42370,535262.1,JP
42461,534439.9,JP
42552,535318.2,JP
42644,536854.8,JP
42736,540726,JP
42826,543148.3,JP
42917,549088.2,JP
43009,550958.9,JP
43101,547460.8,JP
43191,548970.5,JP
43282,545485.7,JP
43374,546279.3,JP
43466,552466.3,JP
43556,555880.5,JP
43647,558132.4,JP
43739,549495.1,JP
43831,545214.6,JP