DATE,FPCPITOTLZGJPN,country
25569,6.924173835,JP
25934,6.395348837,JP
26299,4.843517139,JP
26665,11.60862355,JP
27030,23.22224581,JP
27395,11.73126615,JP
27760,9.374036386,JP
28126,8.161826896,JP
28491,4.209566011,JP
28856,3.701850925,JP
29221,7.778581766,JP
29587,4.912162918,JP
29952,2.741040956,JP
30317,1.899719713,JP
30682,2.261613692,JP
31048,2.032277346,JP
31413,0.595586799,JP
31778,0.126176842,JP
32143,0.67855758,JP
32509,2.272289621,JP
32874,3.078516287,JP
33239,3.251438488,JP
33604,1.760283061,JP
33970,1.243045897,JP
34335,0.695458058,JP
34700,-0.127899045,JP
35065,0.136600359,JP
35431,1.747804587,JP
35796,0.661974191,JP
36161,-0.341296928,JP
36526,-0.676578684,JP
36892,-0.740055504,JP
37257,-0.923494027,JP
37622,-0.256541816,JP
37987,-0.008573388,JP
38353,-0.282946069,JP
38718,0.249355116,JP
39083,0.060039454,JP
39448,1.380078862,JP
39814,-1.35283673,JP
40179,-0.719979429,JP
40544,-0.267633601,JP
40909,-0.051939058,JP
41275,0.346440326,JP
41640,2.761954083,JP
42005,0.78951789,JP
42370,-0.116666667,JP
42736,0.467211747,JP
43101,0.97990367,JP
43466,0.476973684,JP