DATE,UKNGDP,country
25569,13227,UK
25659,13805,UK
25750,14258,UK
25842,14765,UK
25934,14981,UK
26024,15484,UK
26115,15978,UK
26207,16378,UK
26299,16579,UK
26390,17369,UK
26481,17741,UK
26573,18810,UK
26665,20030,UK
26755,19851,UK
26846,20536,UK
26938,21286,UK
27030,21108,UK
27120,22626,UK
27211,23874,UK
27303,24978,UK
27395,26799,UK
27485,28111,UK
27576,29241,UK
27668,30872,UK
27760,32407,UK
27851,33263,UK
27942,34482,UK
28034,36607,UK
28126,37967,UK
28216,39171,UK
28307,40270,UK
28399,42094,UK
28491,44067,UK
28581,45831,UK
28672,47128,UK
28764,48831,UK
28856,50378,UK
28946,53883,UK
29037,56684,UK
29129,59713,UK
29221,62022,UK
29312,63622,UK
29403,65946,UK
29495,68064,UK
29587,69814,UK
29677,71178,UK
29768,73136,UK
29860,75423,UK
29952,77307,UK
30042,78838,UK
30133,80294,UK
30225,82530,UK
30317,85474,UK
30407,86268,UK
30498,88421,UK
30590,90705,UK
30682,91491,UK
30773,93388,UK
30864,94716,UK
30956,97948,UK
31048,98794,UK
31138,103423,UK
31229,104996,UK
31321,107201,UK
31413,108514,UK
31503,110326,UK
31594,112163,UK
31686,115617,UK
31778,117978,UK
31868,121823,UK
31959,126797,UK
32051,129526,UK
32143,133102,UK
32234,136141,UK
32325,140828,UK
32417,145520,UK
32509,148557,UK
32599,151391,UK
32690,155568,UK
32782,158992,UK
32874,162175,UK
32964,166689,UK
33055,169801,UK
33147,170250,UK
33239,173301,UK
33329,175404,UK
33420,177050,UK
33512,179693,UK
33604,181337,UK
33695,181755,UK
33786,182210,UK
33878,185259,UK
33970,189699,UK
34060,190129,UK
34151,193476,UK
34243,195839,UK
34335,198766,UK
34425,200510,UK
34516,202866,UK
34608,207327,UK
34700,208422,UK
34790,210852,UK
34881,214441,UK
34973,216447,UK
35065,220567,UK
35156,225352,UK
35247,229350,UK
35339,231976,UK
35431,234506,UK
35521,235902,UK
35612,242496,UK
35704,239382,UK
35796,243519,UK
35886,246602,UK
35977,249656,UK
36069,256598,UK
36161,257975,UK
36251,256407,UK
36342,260330,UK
36434,265180,UK
36526,270402,UK
36617,273120,UK
36708,275582,UK
36800,276548,UK
36892,279366,UK
36982,285427,UK
37073,286136,UK
37165,288549,UK
37257,291600,UK
37347,295393,UK
37438,299708,UK
37530,303900,UK
37622,307956,UK
37712,311416,UK
37803,316502,UK
37895,321601,UK
37987,323917,UK
38078,329612,UK
38169,331170,UK
38261,335429,UK
38353,338816,UK
38443,347966,UK
38534,350283,UK
38626,359209,UK
38718,362677,UK
38808,367638,UK
38899,370612,UK
38991,373996,UK
39083,379785,UK
39173,384001,UK
39264,390943,UK
39356,395091,UK
39448,401282,UK
39539,399493,UK
39630,396860,UK
39722,392296,UK
39814,384723,UK
39904,385002,UK
39995,389091,UK
40087,388746,UK
40179,394703,UK
40269,400577,UK
40360,401967,UK
40452,404678,UK
40544,414299,UK
40634,411355,UK
40725,414369,UK
40817,419762,UK
40909,421502,UK
41000,423374,UK
41091,432821,UK
41183,434623,UK
41275,437338,UK
41365,441128,UK
41456,449508,UK
41548,454135,UK
41640,459145,UK
41730,464028,UK
41821,468826,UK
41913,469966,UK
42005,472228,UK
42095,479400,UK
42186,481209,UK
42278,484059,UK
42370,489821,UK
42461,497571,UK
42552,500711,UK
42644,507375,UK
42736,513458,UK
42826,515534,UK
42917,517788,UK
43009,524887,UK
43101,528589,UK
43191,533844,UK
43282,539878,UK
43374,541993,UK
43466,549315,UK
43556,551134,UK
43647,556894,UK
43739,557545,UK
43831,549773,UK