DATE,LRUN64TTJPM156N,country
25569,1.3,JP
25600,1.4,JP
25628,1.3,JP
25659,1.3,JP
25689,1,JP
25720,1,JP
25750,1.1,JP
25781,1.2,JP
25812,1.2,JP
25842,1.2,JP
25873,1.1,JP
25903,1.1,JP
25934,1.3,JP
25965,1.5,JP
25993,1.6,JP
26024,1.3,JP
26054,1.1,JP
26085,1.1,JP
26115,1.2,JP
26146,1.3,JP
26177,1.1,JP
26207,1.2,JP
26238,1.2,JP
26268,1.3,JP
26299,1.7,JP
26330,1.7,JP
26359,1.9,JP
26390,1.5,JP
26420,1.3,JP
26451,1.3,JP
26481,1.3,JP
26512,1.3,JP
26543,1.5,JP
26573,1.2,JP
26604,1.2,JP
26634,1.3,JP
26665,1.6,JP
26696,1.5,JP
26724,1.6,JP
26755,1.5,JP
26785,1.3,JP
26816,1.3,JP
26846,1.2,JP
26877,1.2,JP
26908,1.2,JP
26938,1,JP
26969,1.1,JP
26999,1.1,JP
27030,1.5,JP
27061,1.6,JP
27089,1.7,JP
27120,1.3,JP
27150,1.2,JP
27181,1.2,JP
27211,1.2,JP
27242,1.4,JP
27273,1.3,JP
27303,1.4,JP
27334,1.3,JP
27364,1.6,JP
27395,2,JP
27426,2.2,JP
27454,2.2,JP
27485,1.9,JP
27515,1.7,JP
27546,1.7,JP
27576,1.6,JP
27607,1.8,JP
27638,1.9,JP
27668,1.9,JP
27699,1.9,JP
27729,2,JP
27760,2.4,JP
27791,2.4,JP
27820,2.4,JP
27851,2.1,JP
27881,2,JP
27912,1.9,JP
27942,1.8,JP
27973,1.9,JP
28004,1.9,JP
28034,1.9,JP
28065,1.8,JP
28095,1.7,JP
28126,2.2,JP
28157,2.3,JP
28185,2.4,JP
28216,1.9,JP
28246,2,JP
28277,2,JP
28307,1.9,JP
28338,2,JP
28369,1.9,JP
28399,1.8,JP
28430,1.9,JP
28460,2.1,JP
28491,2.4,JP
28522,2.6,JP
28550,2.6,JP
28581,2.3,JP
28611,2.2,JP
28642,2.2,JP
28672,2.1,JP
28703,2.2,JP
28734,2.3,JP
28764,2.1,JP
28795,2.1,JP
28825,2.1,JP
28856,2.4,JP
28887,2.3,JP
28915,2.5,JP
28946,2.2,JP
28976,2,JP
29007,2,JP
29037,2.1,JP
29068,2.1,JP
29099,1.9,JP
29129,2,JP
29160,2,JP
29190,2,JP
29221,2.1,JP
29252,2.1,JP
29281,2.3,JP
29312,2.1,JP
29342,1.9,JP
29373,1.9,JP
29403,2,JP
29434,2,JP
29465,2,JP
29495,2,JP
29526,2.1,JP
29556,2.1,JP
29587,2.2,JP
29618,2.4,JP
29646,2.5,JP
29677,2.4,JP
29707,2.3,JP
29738,2.2,JP
29768,2.1,JP
29799,2,JP
29830,2.1,JP
29860,2.1,JP
29891,2.1,JP
29921,2.1,JP
29952,2.4,JP
29983,2.4,JP
30011,2.6,JP
30042,2.5,JP
30072,2.3,JP
30103,2.4,JP
30133,2.3,JP
30164,2.3,JP
30195,2.3,JP
30225,2.4,JP
30256,2.4,JP
30286,2.4,JP
30317,2.9,JP
30348,3,JP
30376,3,JP
30407,2.9,JP
30437,2.7,JP
30468,2.5,JP
30498,2.5,JP
30529,2.7,JP
30560,2.7,JP
30590,2.6,JP
30621,2.6,JP
30651,2.5,JP
30682,2.9,JP
30713,3,JP
30742,3.1,JP
30773,2.9,JP
30803,2.7,JP
30834,2.8,JP
30864,2.7,JP
30895,2.7,JP
30926,2.7,JP
30956,2.7,JP
30987,2.6,JP
31017,2.5,JP
31048,2.7,JP
31079,2.9,JP
31107,3,JP
31138,2.7,JP
31168,2.6,JP
31199,2.6,JP
31229,2.5,JP
31260,2.5,JP
31291,2.7,JP
31321,2.7,JP
31352,2.7,JP
31382,2.7,JP
31413,2.9,JP
31444,2.8,JP
31472,3.2,JP
31503,3.1,JP
31533,2.7,JP
31564,2.7,JP
31594,2.8,JP
31625,2.9,JP
31656,2.8,JP
31686,2.7,JP
31717,2.7,JP
31747,2.8,JP
31778,3.2,JP
31809,3.2,JP
31837,3.3,JP
31868,3.2,JP
31898,3.2,JP
31929,2.9,JP
31959,2.7,JP
31990,2.8,JP
32021,2.8,JP
32051,2.7,JP
32082,2.6,JP
32112,2.6,JP
32143,2.9,JP
32174,3,JP
32203,3.1,JP
32234,2.8,JP
32264,2.6,JP
32295,2.4,JP
32325,2.5,JP
32356,2.6,JP
32387,2.5,JP
32417,2.4,JP
32448,2.3,JP
32478,2.2,JP
32509,2.5,JP
32540,2.6,JP
32568,2.7,JP
32599,2.6,JP
32629,2.4,JP
32660,2.2,JP
32690,2.1,JP
32721,2.3,JP
32752,2.2,JP
32782,2.2,JP
32813,2.2,JP
32843,2,JP
32874,2.4,JP
32905,2.3,JP
32933,2.3,JP
32964,2.3,JP
32994,2.2,JP
33025,2.1,JP
33055,2,JP
33086,2.1,JP
33117,2.2,JP
33147,2.2,JP
33178,2,JP
33208,1.9,JP
33239,2.1,JP
33270,2.2,JP
33298,2.5,JP
33329,2.3,JP
33359,2.2,JP
33390,2.1,JP
33420,2.1,JP
33451,2.2,JP
33482,2.2,JP
33512,2.1,JP
33543,2,JP
33573,2,JP
33604,2.3,JP
33635,2.2,JP
33664,2.4,JP
33695,2.2,JP
33725,2.2,JP
33756,2.1,JP
33786,2.1,JP
33817,2.2,JP
33848,2.3,JP
33878,2.2,JP
33909,2.3,JP
33939,2.3,JP
33970,2.5,JP
34001,2.5,JP
34029,2.7,JP
34060,2.5,JP
34090,2.6,JP
34121,2.5,JP
34151,2.5,JP
34182,2.6,JP
34213,2.7,JP
34243,2.8,JP
34274,2.7,JP
34304,2.7,JP
34335,2.9,JP
34366,3.1,JP
34394,3.3,JP
34425,3,JP
34455,3,JP
34486,2.8,JP
34516,2.9,JP
34547,3.1,JP
34578,3.1,JP
34608,3.1,JP
34639,2.9,JP
34669,2.8,JP
34700,3.1,JP
34731,3.2,JP
34759,3.4,JP
34790,3.3,JP
34820,3.2,JP
34851,3.1,JP
34881,3.1,JP
34912,3.4,JP
34943,3.4,JP
34973,3.3,JP
35004,3.4,JP
35034,3.3,JP
35065,3.6,JP
35096,3.5,JP
35125,3.6,JP
35156,3.6,JP
35186,3.7,JP
35217,3.5,JP
35247,3.4,JP
35278,3.5,JP
35309,3.5,JP
35339,3.5,JP
35370,3.3,JP
35400,3.2,JP
35431,3.5,JP
35462,3.6,JP
35490,3.6,JP
35521,3.5,JP
35551,3.7,JP
35582,3.5,JP
35612,3.4,JP
35643,3.6,JP
35674,3.6,JP
35704,3.6,JP
35735,3.5,JP
35765,3.4,JP
35796,3.7,JP
35827,3.8,JP
35855,4.3,JP
35886,4.4,JP
35916,4.4,JP
35947,4.3,JP
35977,4.1,JP
36008,4.5,JP
36039,4.5,JP
36069,4.4,JP
36100,4.4,JP
36130,4.2,JP
36161,4.6,JP
36192,4.9,JP
36220,5.3,JP
36251,5.2,JP
36281,5.1,JP
36312,5,JP
36342,4.9,JP
36373,4.9,JP
36404,4.8,JP
36434,4.8,JP
36465,4.5,JP
36495,4.5,JP
36526,4.8,JP
36557,5.1,JP
36586,5.4,JP
36617,5.3,JP
36647,5,JP
36678,4.9,JP
36708,4.7,JP
36739,4.8,JP
36770,4.9,JP
36800,4.8,JP
36831,4.7,JP
36861,4.6,JP
36892,4.9,JP
36923,4.9,JP
36951,5.3,JP
36982,5.4,JP
37012,5.3,JP
37043,5.2,JP
37073,5.1,JP
37104,5.2,JP
37135,5.6,JP
37165,5.4,JP
37196,5.4,JP
37226,5.2,JP
37257,5.4,JP
37288,5.6,JP
37316,5.9,JP
37347,5.8,JP
37377,5.9,JP
37408,5.7,JP
37438,5.5,JP
37469,5.7,JP
37500,5.7,JP
37530,5.6,JP
37561,5.3,JP
37591,5.2,JP
37622,5.6,JP
37653,5.5,JP
37681,6,JP
37712,6,JP
37742,5.8,JP
37773,5.6,JP
37803,5.3,JP
37834,5.2,JP
37865,5.4,JP
37895,5.4,JP
37926,5.1,JP
37956,4.7,JP
37987,5.1,JP
38018,5.2,JP
38047,5.3,JP
38078,5.3,JP
38108,5,JP
38139,4.9,JP
38169,5,JP
38200,4.9,JP
38231,4.9,JP
38261,4.9,JP
38292,4.5,JP
38322,4.3,JP
38353,4.7,JP
38384,4.9,JP
38412,5,JP
38443,4.9,JP
38473,4.7,JP
38504,4.4,JP
38534,4.5,JP
38565,4.5,JP
38596,4.5,JP
38626,4.7,JP
38657,4.6,JP
38687,4.2,JP
38718,4.6,JP
38749,4.4,JP
38777,4.6,JP
38808,4.4,JP
38838,4.3,JP
38869,4.3,JP
38899,4.2,JP
38930,4.2,JP
38961,4.3,JP
38991,4.4,JP
39022,4.1,JP
39052,3.8,JP
39083,4.2,JP
39114,4.2,JP
39142,4.4,JP
39173,4.2,JP
39203,4,JP
39234,3.8,JP
39264,3.7,JP
39295,3.9,JP
39326,4.2,JP
39356,4.3,JP
39387,3.9,JP
39417,3.6,JP
39448,4.1,JP
39479,4.2,JP
39508,4.2,JP
39539,4.2,JP
39569,4.1,JP
39600,4.1,JP
39630,4,JP
39661,4.3,JP
39692,4.3,JP
39722,4,JP
39753,4,JP
39783,4.3,JP
39814,4.4,JP
39845,4.8,JP
39873,5.3,JP
39904,5.4,JP
39934,5.5,JP
39965,5.5,JP
39995,5.7,JP
40026,5.7,JP
40057,5.7,JP
40087,5.4,JP
40118,5.3,JP
40148,5.1,JP
40179,5.2,JP
40210,5.2,JP
40238,5.6,JP
40269,5.6,JP
40299,5.5,JP
40330,5.4,JP
40360,5.2,JP
40391,5.4,JP
40422,5.4,JP
40452,5.3,JP
40483,5.1,JP
40513,4.8,JP
40544,4.9,JP
40575,4.8,JP
40603,5.12777685,JP
40634,5.168129866,JP
40664,4.954582989,JP
40695,5.004955401,JP
40725,4.994173464,JP
40756,4.720455306,JP
40787,4.4,JP
40817,4.6,JP
40848,4.5,JP
40878,4.5,JP
40909,4.7,JP
40940,4.6,JP
40969,4.9,JP
41000,5,JP
41030,4.7,JP
41061,4.6,JP
41091,4.6,JP
41122,4.5,JP
41153,4.4,JP
41183,4.4,JP
41214,4.2,JP
41244,4.1,JP
41275,4.4,JP
41306,4.5,JP
41334,4.5,JP
41365,4.6,JP
41395,4.5,JP
41426,4.1,JP
41456,4.1,JP
41487,4.3,JP
41518,4.1,JP
41548,4.2,JP
41579,3.9,JP
41609,3.6,JP
41640,3.8,JP
41671,3.7,JP
41699,3.9,JP
41730,4,JP
41760,3.8,JP
41791,3.9,JP
41821,4,JP
41852,3.6,JP
41883,3.7,JP
41913,3.7,JP
41944,3.5,JP
41974,3.3,JP
42005,3.7,JP
42036,3.6,JP
42064,3.7,JP
42095,3.7,JP
42125,3.6,JP
42156,3.6,JP
42186,3.6,JP
42217,3.6,JP
42248,3.5,JP
42278,3.3,JP
42309,3.4,JP
42339,3.3,JP
42370,3.4,JP
42401,3.4,JP
42430,3.4,JP
42461,3.5,JP
42491,3.4,JP
42522,3.3,JP
42552,3.2,JP
42583,3.3,JP
42614,3.1,JP
42644,3,JP
42675,3.1,JP
42705,3,JP
42736,3.1,JP
42767,3,JP
42795,3,JP
42826,3.1,JP
42856,3.3,JP
42887,3,JP
42917,3,JP
42948,3,JP
42979,3,JP
43009,2.8,JP
43040,2.8,JP
43070,2.7,JP
43101,2.5,JP
43132,2.6,JP
43160,2.7,JP
43191,2.8,JP
43221,2.4,JP
43252,2.6,JP
43282,2.7,JP
43313,2.6,JP
43344,2.5,JP
43374,2.5,JP
43405,2.6,JP
43435,2.5,JP
43466,2.5,JP
43497,2.4,JP
43525,2.7,JP
43556,2.7,JP
43586,2.6,JP
43617,2.5,JP
43647,2.3,JP
43678,2.4,JP
43709,2.6,JP
43739,2.5,JP
43770,2.3,JP
43800,2.2,JP
43831,2.5,JP
43862,2.4,JP
43891,2.7,JP